shape 0
688635.8129133979,9328767.189991428
688647.6689319968,9328749.847973138
688675.588984146,9328709.008799542
688617.6638491504,9328660.114540825
688573.1737932103,9328717.00479465
688596.8774440839,9328736.718344714

shape 1
688629.6688191612,9328992.101885183
688523.0930488013,9329043.105991274
688523.035467809,9329043.01656702
688519.992693812,9329036.537167933
688512.1272538953,9329024.571592484
688472.7359475248,9328985.31613459
688421.3765915734,9328935.80488135
688370.3447850499,9328886.584183201
688368.0993484937,9328888.32470314
688418.6715666493,9328937.102123296
688470.0309587675,9328986.613411404
688509.3590738984,9329025.95292955
688517.2876679709,9329037.834409313
688444.6310451607,9329072.67813476
688374.5078982804,9329104.273722034
688350.661274897,9329112.979186395
688348.0940127514,9329114.275369288
688332.3176274375,9329122.240695618
688312.4456052211,9329132.977090284
688296.9255481943,9329142.400067763
688259.3309809831,9329166.652789885
688219.3442559469,9329196.625723679
688167.9492072847,9329232.946500706
688062.5912636481,9329159.846145248
687924.3323389366,9329066.523624659
687790.4763535919,9328983.725769658
687859.9956667774,9328914.441965356
687922.2724738193,9328857.548048044
687913.7903057073,9328848.671846451
687973.6939952841,9328790.18982534
687988.1594904874,9328778.609883567
688037.1070585042,9328751.81275103
688042.3066433386,9328754.731222432
688098.3868770254,9328723.605148047
688131.2833638728,9328767.961428994
688161.1949108627,9328742.693380771
688184.1733105448,9328724.434088226
688154.6341058073,9328680.640242768
688218.5568154723,9328634.891288511
688274.1461200065,9328587.265943307
688346.330651317,9328528.910759512
688343.1669238945,9328526.16264201
688388.0637722099,9328477.76460354
688397.8553329868,9328466.758574424
688442.0556275024,9328417.076031141
688487.3611904037,9328362.459592717
688542.7039105403,9328402.273240281
688595.107666939,9328441.095272066
688623.835723025,9328462.153891092
688651.9642835611,9328482.773059968
688694.4559990256,9328514.581286129
688714.6925533218,9328529.830484731
688755.9356371342,9328527.26810517
688800.464931939,9328527.598917546
688849.4174761904,9328532.517940547
688883.5495712053,9328542.52378289
688956.8409461766,9328574.090529703
688899.4250112268,9328676.102494199
688878.9293268129,9328712.427442485
688865.0691550076,9328737.037035033
688822.9510990538,9328811.820258025
688765.8720683242,9328910.673581276
688759.1465357776,9328922.321315516
688750.5410551055,9328931.522609029
688668.2770753409,9328972.7520311

shape 2
688433.4467704825,9328725.045341179
688395.4186862232,9328755.147062292
688376.0611373826,9328771.103541274
688419.5739830561,9328809.686150705
688499.099625505,9328741.559111532
688458.9782000105,9328703.971557068

shape 3
688271.1279384991,9328810.4737032
688331.8496436806,9328759.949086512
688320.6155796174,9328748.956943963
688318.0054701949,9328745.986012904
688258.7036969551,9328795.03870724
688261.2832919694,9328798.243413135

